Director,Film_count,Average_rating
Akira Kurosawa,7,4.42
Ingmar Bergman,9,4.33
Andrei Tarkovsky,7,4.311428571428571
Krzysztof Kieślowski,6,4.138333333333334
Carl Theodor Dreyer,5,4.1339999999999995
Charlie Chaplin,7,4.128571428571428
Hirokazu Kore-eda,11,4.120909090909091
Stanley Kubrick,11,4.119090909090909
Hayao Miyazaki,12,4.0925
Rainer Werner Fassbinder,5,4.08
Frank Capra,6,4.056666666666667
Quentin Tarantino,10,4.053
Michael Haneke,6,4.048333333333333
Sergio Leone,6,4.03
Paul Thomas Anderson,8,4.0275
