Studios,Film_count,Average_rating
['Mosfilm'],9,4.076666666666666
['Shochiku'],6,3.9633333333333334
['SF Studios'],9,3.948888888888889
['Filmové studio Barrandov'],7,3.948571428571429
['Pixar'],10,3.78
"['Warner Bros. Pictures', 'Warner Bros. Cartoons']",27,3.7581481481481482
['Warner Bros. Cartoons'],16,3.754375
"['Pixar', 'Walt Disney Pictures']",12,3.7424999999999997
"['Walt Disney Pictures', 'Walt Disney Feature Animation']",10,3.649
['Daiei Film'],13,3.6123076923076924
"['Walt Disney Animation Studios', 'Walt Disney Pictures']",5,3.59
"['The Mirisch Company', 'United Artists']",8,3.59
['Shaw Brothers'],13,3.588461538461538
"['Universal Pictures', 'Amblin Entertainment']",6,3.5516666666666663
['Oscilloscope'],6,3.5483333333333333
